id;Kanji;Grade;"Reading within Joyo";"Reading beyond Joyo";"On within Joyo";"Translation of On";"Kun within Joyo";"Translation of Kun";Left1sound;Left2sound;Left3sound;Left4sound;Left5sound;Left6sound;Right1sound;Right2sound;Right3sound;Right4sound;Right5sound;Right6sound;Right7sound
938;循;7;ジュン;;jun;follow;-;-;zyun;;;;;;zyun;;;;;;
1194;繊;7;セン;;sen;"fine, slender; thin kimono";-;-;sen;;;;;;sen;;;;;;
1450;逓;7;テイ;;tei;"in turn; sending (parcels) in feudal times";-;-;tei;;;;;;tei;;;;;;
1962;闇;7;やみ;;-;-;yami;"darkness; grief, gloom; disorder, black market";yami;;;;;;yami;;;;;;
171;餓;7;ガ;う;ga;"be hungry, starve, thirst";-;-;ga;;;;;;ga;;;;;;
683;佐;7;サ;たす;sa;help;-;-;sa;;;;;;sa;;;;;;
1195;鮮;7;セン、あざ-やか;;sen;Korea;aza(yaka);"vivid, clear, brilliant, fresh, graceful, splendid, beautiful";sen;;;;;;sen;;;;;;
1707;微;7;ビ;ミ、かす;bi;"minuteness; insignificance; vagueness; fewness";-;-;bi;mi;;;;;bi;;;;;;
172;介;7;カイ;ケ、すけ;kai;"shell, shellfish";-;-;kai;;;;;;kai;;;;;;
428;巾;7;キン;はば;kin;towel;-;-;kin;;;;;;kin;;;;;;
684;沙;7;サ;シャ、すな;sa;sand;-;-;sa;sya;;;;;;;;;;;
1452;偵;7;テイ;;tei;spy;-;-;tei;;;;;;tei;;;;;;
429;斤;7;キン;;kin;"1.1/3 pounds, catty; axe";-;-;kin;;;;;;;;;;;;
941;潤;7;ジュン、うるお-う、うるお-す、うる-む;;jun;"be watered; profit by, receive benefits, become rich ";"uruo(u), uruo(su), uru(mu)";"be watered; profit by, receive benefits, become rich. moisten, water, irrigate, dip; enrich, profit. be dimmed, be clouded, get muddy; be wet  ";zyun;;;;;;zyun;;;;;;
1453;堤;7;テイ、つつみ;;tei;"dike, bank, embankment";tsutsumi;"dike, bank, embankment";tei;;;;;;tei;;;;;;
1709;膝;7;ひざ;シツ、シッ;-;-;hiza;"knee; lap";hiza;siQ;;;;;;;;;;;
1965;喩;7;ユ;たと;yu;"compare, illustrate, speak figuratively";-;-;;;;;;;yu;;;;;;
942;遵;7;ジュン;;jun;"follow, obey; learn";-;-;zyun;;;;;;;;;;;;
1710;肘;7;ひじ;チュウ;-;-;hiji;"elbow; arm (of something)";hizi;;;;;;hizi;tyuu;;;;;
1966;愉;7;ユ;たの;yu;rejoice;-;-;yu;;;;;;;;;;;;
687;唆;7;サ、そそのか-す;;sa;"tempt, seduce; instigate; promote";sosonoka(su);"tempt, seduce; instigate; promote";;;;;;;sa;;;;;;
1711;匹;7;ヒツ、ひき;ピキ;hitsu;"head, counter (small animals); roll of cloth ";hiki;"head, counter (small animals); roll of cloth ";hiQ;;;;;;;;;;;;
1967;諭;7;ユ、さと-す;;yu;"admonish, charge, remonstrate with, counsel, persuade, warn; make known to";sato(su);"admonish, charge, remonstrate with, counsel, persuade, warn; make known to";yu;;;;;;yu;;;;;;
1200;禅;7;ゼン;;zen;"silent meditation; Buddhist sect originating in the twelfth century";-;-;zen;;;;;;zen;;;;;;
1456;艇;7;テイ;;tei;"small boat";-;-;tei;;;;;;tei;;;;;;
177;戒;7;カイ、いまし-める;;kai;"commandment; admonition";imashi(meru);"admonish, warn, prohibit";kai;;;;;;kai;;;;;;
433;菌;7;キン;;kin;"fungus, germ, bacteria";-;-;kin;;;;;;kin;;;;;;
689;詐;7;サ;いつわ;sa;"lie, falsify; deceive; pretend; deceive, cheat ";-;-;sa;;;;;;;;;;;;
1201;漸;7;ゼン;ようや;zen;"gradually advancing";-;-;zen;;;;;;zen;;;;;;
